breadcrumb,image_url,brand,product_name,listing_price,offer_price,discount,product_id_text,sizes,description,other_images
"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Formal shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/23/P00831275.jpg,Manolo Blahnik,Carlton embellished velvet loafers,€ 879,,,P00831275,"['UK_ 6 / EU 40', 'UK_ 6.5 / EU 40.5', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43', 'UK_ 9.5 / EU 43.5', 'UK_ 10 / EU 44', 'UK_ 10.5 / EU 44.5', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']",The Carlton loafers from Manolo Blahnik will add a spectacular finish to elegant ensembles. The streamlined shape is crafted in Italy from plush velvet and is defined by ornate buckles adorning the uppers.,[]
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/e9/P00734027.jpg,Christian Louboutin,Dandelion suede loafers,€ 635,,,P00734027,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']",Christian Louboutin's Dandelion loafers are made from tactile suede and feature sleek elongated lines with inverted notches on the vamps. This pair is finished with the brand's iconic red lacquered soles for unparalleled sophistication.,"['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/e9/P00734027_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/00/P00543140.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/00/P00543140_b1.jpg']"
"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Formal shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/b5/P00831151.jpg,Manolo Blahnik,Truro suede loafers,€ 669,,,P00831151,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","A favorite among modern dandies, the Truro loafers from Manolo Blahnik draw inspiration from the Regency fashion arbiter Beau Brummell. The pink-hued streamlined shape is crafted in Italy from plush suede with contrast topstitching.",[]
"['Men', 'Designers', 'Alexander McQueen', 'Shoes', 'Formal shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/47/P00864156.jpg,Alexander McQueen,Embellished suede loafers,"€ 1,255",,,P00864156,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']",Stand out in these striking and stylish loafers from Alexander McQueen. They're made from plush black suede and adorned with intricate red beaded embellishments in the shape of a floral motif.,[]
"['Men', 'Designers', 'Saint Laurent', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/d4/P00525826.jpg,Saint Laurent,Wyatt Chelsea boots,€ 795,,,P00525826,"['EU_ 39 / EU 39', 'EU_ 39.5 / EU 39.5', 'EU_ 40 / EU 40', 'EU_ 40.5 / EU 40.5', 'EU_ 41 / EU 41', 'EU_ 41.5 / EU 41.5', 'EU_ 42 / EU 42', 'EU_ 42.5 / EU 42.5', 'EU_ 43 / EU 43', 'EU_ 43.5 / EU 43.5', 'EU_ 44 / EU 44', 'EU_ 44.5 / EU 44.5', 'EU_ 45 / EU 45', 'EU_ 45.5 / EU 45.5', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","These black leather ankle boots from Saint Laurent in offer ultimate style and comfort in a slim silhouette, and feature elastic side panels and leather soles.",[]
"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/60/P00831186.jpg,Manolo Blahnik,Brompton suede Chelsea boots,€ 669,,,P00831186,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 9.5 / EU 43.5', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","Creativity and craftsmanship are at the heart of every Manolo Blahnik design, including the Brompton Chelsea boots. Crafted in Italy from grey suede, this timeless style features elasticated inserts, heel pulls, and lugged rubber soles.",[]
"['Men', 'Designers', 'Balenciaga', 'Shoes', 'Boots', 'Ankle boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/aa/P00859152.jpg,Balenciaga,Rhino leather Chelsea boots,"€ 1,200",,,P00859152,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45']",Embrace a new take on conventional footwear with the Rhino Chelsea boots from Balenciaga. The design is crafted from brushed calf leather thatâs set atop 20mm heels and complete with pyramid-shaped toes.,[]
"['Men', 'Designers', 'Balenciaga', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/55/P00827562.jpg,Balenciaga,Santiago leather boots,"€ 1,500",,,P00827562,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Balenciaga lives up to its well-earned reputation for experimental silhouettes with the Santiago boots. Made in Italy from smooth leather, the pair comes with square toes that cartoonishly curve up and out.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/55/P00827562_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/ff/P00838154.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/ff/P00838154_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/e9/P00827611.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/e9/P00827611_b1.jpg']"
"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/59/P00831213.jpg,Manolo Blahnik,Semanado leather sneakers,€ 505,,,P00831213,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","Creativity and craftsmanship are at the heart of every Manolo Blahnik design, including the lace-up Semanando sneakers. Crafted in Italy from supple leather, this timeless style boasts contrasting eyelets and rests atop rubber soles.",[]
"['Men', 'Designers', 'John Lobb', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/2c/P00865465.jpg,John Lobb,Foundry II leather low-top sneakers,€ 955,,,P00865465,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46']","Unparalleled artisanship shines through in John Lobb's designs, which are created using high-quality materials and meticulous manufacturing processes. The Foundry II low-top sneakers are made of white leather with tonal topstitching and lugged rubber soles.",[]
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/d0/P00830479.jpg,Christian Louboutin,Louis Junior Spikes sneakers,€ 715,,,P00830479,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","The Louis Junior Spikes sneakers from Christian Louboutin are crafted from leather with blue suede and mesh panels. Set atop rubber soles, the lace-up style features eye-catching spike embellishements on the front.",[]
"['Men', 'Designers', 'Visvim', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/86/P00841775.jpg,Visvim,Skagway low-top sneakers,€ 675,,,P00841775,"['US_ 8 / EU 41 - 42', 'US_ 9 / EU 42.5 - 43', 'US_ 10 / EU 44 - 44.5', 'US_ 11 / EU 45 - 45.5', 'US_ 12 / EU 45.5 - 46']","Based in Tokyo, Visvim masterfully blends traditional Japanese craft techniques with vintage-inspired apparel. The Skagway low-top sneakers are made from high-twist green canvas with branded midsoles and cushioned corked insoles that absorb moisture.",[]
"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Formal shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/76/P00831227.jpg,Manolo Blahnik,Truro suede loafers,€ 669,,,P00831227,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","A favorite among modern dandies, the Truro loafers from Manolo Blahnik draw inspiration from the Regency fashion arbiter Beau Brummell. The streamlined shape is crafted in Italy from plush suede with tonal topstitching.",[]
"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/ae/P00831258.jpg,Manolo Blahnik,Monaco suede loafers,€ 585,,,P00831258,"['UK_ 6 / EU 40', 'UK_ 6.5 / EU 40.5', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43', 'UK_ 9.5 / EU 43.5', 'UK_ 10 / EU 44', 'UK_ 10.5 / EU 44.5', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","Manolo Blahnik's Monaco loafers are essential for between-the-season wear. Expertly crafted by artisans in Italy, the suede uppers have apron toes, and the rubber soles are suitable for indoor or outdoor use.",[]
"['Men', 'Designers', 'Valentino Garavani', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/3a/P00806752.jpg,Valentino Garavani,VLogo leather loafers,€ 585,,,P00806752,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","At once iconic and understated, Valentino Garavani's VLogo carries the Maison's legacy of elegance. The motif appears in polished gold-tone metal on the grained calfskin construction of these slip-on loafers, complete with traditional pebble soles.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/3a/P00806752_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/d6/P00734326.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/d6/P00734326_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/b2/P00734282.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/b2/P00734282_b1.jpg']"
"['Men', 'Designers', 'Gucci', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/15/P00461579.jpg,Gucci,1953 Horsebit leather loafers,€ 615,,,P00461579,"['UK_ 5 / EU 39', 'UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43', 'UK_ 9.5 / EU 43.5', 'UK_ 10 / EU 44', 'UK_ 10.5 / EU 44.5', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","A true classic, the 1953 Horsebit leather loafers from Gucci feature the label's iconic icon detailed over the bridges and are crafted in Italy.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/15/P00461579_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/57/P00731016.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/57/P00731016_b2.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/39/P00737651.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/39/P00737651_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/ec/P00737678.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/ec/P00737678_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/d4/P00737553.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/d4/P00737553_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/14/P00773750.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/14/P00773750_b1.jpg']"
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Formal shoes', 'Derby']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/a8/P00830488.jpg,Christian Louboutin,Greghost leather Oxford shoes,€ 839,,,P00830488,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","The Greghost Oxford shoes from Christian Louboutin have slim lines that speak to the brand's sophisticated touch. The design features discreet lacing on the upper, framed by two leather panels with visible topstitching.",[]
"['Men', 'Designers', 'Saint Laurent', 'Shoes', 'Formal shoes', 'Oxford']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/b3/P00829059.jpg,Saint Laurent,Tristan patent leather loafers,€ 969,,,P00829059,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Saint Laurent's Tristan loafers have a glossy patent leather upper complemented by an embellished arch strap. Made in Italy, the shoes have a square-shaped toe and will add a touch of sophistication to any ensemble.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/b3/P00829059_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/09/P00709444.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/09/P00709444_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/a9/P00709507.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/a9/P00709507_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/b7/P00731043.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/b7/P00731043_b2.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/48/P00828989.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/48/P00828989_b1.jpg']"
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Formal shoes', 'Derby']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/d3/P00632388.jpg,Christian Louboutin,Our Georges leather lace-up shoes,€ 799,,,P00632388,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","The Our Georges lace-up shoes from Christian Louboutin are crafted from smooth leather in black, and rest on thickly cleated rubber soles.",[]
"['Men', 'Designers', 'Balenciaga', 'Shoes', 'Derby Shoes']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/96/P00871950.jpg,Balenciaga,Steroid Derby shoes,€ 895,,,P00871950,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44']","Innovation is at the heart of Balenciaga, which proudly presents its modern interpretation of fashion in every piece. The Steroid Derby shoes feature an exaggerated, extra-large round toe and are set atop a molded sole.",[]
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/af/P00830485.jpg,Christian Louboutin,Loubishark leather sneakers,€ 715,,,P00830485,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","Loubishark sneakers from Christian Louboutin are defined by their chunky ""shark teeth"" soles. This design is crafted from leather and features a fish scale effect on the heels.",[]
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/01/P00830487.jpg,Christian Louboutin,Seavaste 2 Orlato sneakers,€ 755,,,P00830487,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","Add a refined touch to your footwear collection with the Seavaste 2 Orlato sneakers from Christian Louboutin. Crafted from leather and nylon, this pair features the brand's iconic spiked details at the heel and toe cap.",[]
"['Men', 'Designers', 'The Row', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/39/P00792624.jpg,The Row,Owen Runner mesh and leather sneakers,€ 589,,10% off over €500,P00792624,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Step into The Rowâs effortless minimalism with the Owen Runner sneakers. This style is made in Italy from technical mesh and features leather panels, contrasting laces, and sporty lugged soles.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/39/P00792624_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/05/P00792633.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/05/P00792633_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/27/P00792635.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/27/P00792635_b1.jpg']"
"['Men', 'Designers', 'Lanvin', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/55/P00835207.jpg,Lanvin,DBB1 leather and suede sneakers,€ 339,,10% off over €500,P00835207,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']",The DBB1 sneakers from Lanvin are a classic style with a modern twist. They're made from both leather and suede atop durable rubber soles.,"['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/55/P00835207_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/21/P00734481.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/21/P00734481_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/96/P00835291.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/96/P00835291_b1.jpg']"
"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/21/P00831255.jpg,Manolo Blahnik,Delsa suede Chelsea boot,€ 755,,,P00831255,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43', 'UK_ 9.5 / EU 43.5', 'UK_ 10 / EU 44', 'UK_ 10.5 / EU 44.5', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","Team your cold-weather looks with the Delsa Suede Chelsea boot from Manolo Blahnik. The Italian-crafted pair is made from smooth suede and will look good paired with chinos, jeans, and pants.",[]
"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/f2/P00831252.jpg,Manolo Blahnik,Brompton suede Chelsea boots,€ 669,,,P00831252,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43', 'UK_ 9.5 / EU 43.5', 'UK_ 10 / EU 44', 'UK_ 10.5 / EU 44.5', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","Every shoe from Manolo Blahnik starts as a sketch by the designer himself. Made from brown suede, the Brompton Chelsea boots are designed with a classic silhouette and lug soles designed to slot perfectly into your collection.",[]
"['Men', 'Designers', 'Saint Laurent', 'Shoes', 'Boots', 'Ankle boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/e9/P00829073.jpg,Saint Laurent,Wyatt suede ankle boots,€ 839,,,P00829073,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Saint Laurent adds label-signature Western accents to the classic Wyatt ankle boots. Made from velvety suede, the pair rest atop block heels and boast rounded toes and stitched paneling.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/e9/P00829073_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/a0/P00709462.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/a0/P00709462_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/b7/P00731043.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/b7/P00731043_b2.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/e2/P00775826.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/e2/P00775826_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/48/P00828989.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/48/P00828989_b1.jpg']"
"['Men', 'Designers', 'Bottega Veneta', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/71/P00858694.jpg,Bottega Veneta,Leather ankle boots,"€ 1,095",,,P00858694,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Conquer the city's streets with these ankle boots from Bottega Veneta. They're made from supple calf leather to a square-toe silhouette, featuring functional side zippers and rubber-injected outsoles for optimum grip.",[]
"['Men', 'Designers', 'Bottega Veneta', 'Shoes', 'Formal shoes', 'Derby']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/15/P00858693.jpg,Bottega Veneta,Intrecciato leather Derby shoes,"€ 1,135",,,P00858693,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Formal occasions demand outstanding footwear, like these glossy Derby shoes from Bottega Veneta. Meticulously crafted from black calfskin using the house's Intrecciato technique, they feature polished lace-up fronts and leather soles.",[]
"['Men', 'Designers', 'Dolce & Gabbana', 'Shoes', 'Formal shoes', 'Derby']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/c7/P00816331.jpg,Dolce&Gabbana,Patent leather Derby shoes,€ 585,,,P00816331,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']",Complete your look on a sharp note with these Derby shoes from Dolce&Gabbana. The timeless style is made from patent brushed leather with grosgrain trims.,"['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/c7/P00816331_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/66/P00604793.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/66/P00604793_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/28/P00818784.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/28/P00818784_b1.jpg']"
"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/f1/P00831222.jpg,Manolo Blahnik,Monaco suede loafers,€ 585,,,P00831222,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","Every shoe from Manolo Blahnik starts as a sketch by the designer himself. Made from brown suede, the Monaco loafers are a minimalistâs dream with their sleek silhouette and contrasting white soles.",[]
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Slippers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/f6/P00808147.jpg,Christian Louboutin,Varsiboat suede boat shoes,€ 585,,,P00808147,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","The Varsiboat boat shoes from Christian Louboutin are made from suede for a tactile handle. Set on flat rubber soles, they have debossed detailing at the vamps and rounded toes.",[]
"['Men', 'Designers', 'Dolce & Gabbana', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/38/P00818761.jpg,Dolce&Gabbana,Daymaster leather sneakers,€ 490,,,P00818761,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","Dolce&Gabbana's favorite symbols adorn the Daymaster sneakers. Made from leather, this pair is set on chunky soles and will be a comfortable addition to your athleisure wardrobe.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/38/P00818761_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/a2/P00818706.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/a2/P00818706_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/47/P00818709.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/47/P00818709_b1.jpg']"
