breadcrumb,image_url,brand,product_name,listing_price,offer_price,discount,product_id_text,sizes,description,other_images
"['Men', 'Designers', 'Lanvin', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/96/P00485647.jpg,Lanvin,DBB1 suede sneakers,€ 339,,10% off over €500,P00485647,"['UK_ 5 / EU 39', 'UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","The DBB1 navy suede sneakers from Lanvin have a sleek silhouette and leather cap-toe, resting on thick white rubber soles.",[]
"['Men', 'Designers', 'Lanvin', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/de/P00734410.jpg,Lanvin,Clay leather low-top sneakers,€ 455,,10% off over €500,P00734410,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","The Clay low-top sneakers from Lanvin are made from white leather uppers, accented by beige suede details, and are finished with the label's logo on the tongue and sides.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/de/P00734410_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/41/P00693247.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/41/P00693247_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/8f/P00662812.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/8f/P00662812_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/91/P00662838.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/91/P00662838_b1.jpg']"
"['Men', 'Designers', 'Birkenstock 1774', 'Shoes', 'Sandals & slides']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/09/P00803559.jpg,Birkenstock 1774,Arizona Avantgarde leather sandals,€ 329,,,P00803559,"['EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Birkenstock 1774 presents an avantgarde iteration of the iconic Arizona sandals. Made from light blue leather, the comfortable style features the instantly recognizable dual buckled straps and has molded insoles with rubber soles for optimal support.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/09/P00803559_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/32/P00822671.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/32/P00822671_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/b6/P00822666.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/b6/P00822666_b1.jpg']"
"['Men', 'Designers', 'Lanvin', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/7a/P00693231.jpg,Lanvin,Leather Curb sneakers,€ 635,,10% off over €500,P00693231,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","These Curb sneakers from Lanvin have an exaggerated silhouette, rest on rubber soles, and feature thick black and white laces.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/7a/P00693231_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/92/P00693225.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/92/P00693225_b1.jpg']"
"['Men', 'Designers', 'Norda', 'Shoes', 'Sneakers', 'Sports sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/c0/P00792203.jpg,Norda,001 trail running shoes,€ 225,,,P00792203,"['US_ 7 / EU 40', 'US_ 7.5 / EU 40.5', 'US_ 8 / EU 41', 'US_ 8.5 / EU 41.5', 'US_ 9 / EU 42', 'US_ 9.5 / EU 42.5', 'US_ 10 / EU 43', 'US_ 10.5 / EU 43.5', 'US_ 11 / EU 44', 'US_ 11.5 / EU 44.5', 'US_ 12 / EU 45', 'US_ 12.5 / EU 45.5']","Norda's 001 trail running shoes are a seamless, ultra-lightweight style. They are made from durable fabric and set on high-performance rubber soles.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/c0/P00792203_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/4d/P00782486.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/4d/P00782486_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/89/P00811413.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/89/P00811413_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/38/P00782513.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/38/P00782513_b1.jpg']"
"['Men', 'Designers', ""Tod's"", 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/85/P00757074.jpg,Tod's,Gommino suede driving shoes,€ 415,,,P00757074,"['UK_ 6 / EU 39.5', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43-43.5', 'UK_ 9.5 / EU 44', 'UK_ 10 / EU 44.5', 'UK_ 10.5 / EU 45', 'UK_ 11 / EU 45.5', 'UK_ 11.5 / EU 46.5', 'UK_ 12 / EU 47', 'UK_ 13 / EU 48']","Made from suede, these beige loafers from Tod's have a slip-on design detailed with the label's signature rubber pebbles on the heel and soles.",[]
"['Men', 'Designers', 'Giorgio Armani', 'Shoes', 'Slippers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/3f/P00726561.jpg,Giorgio Armani,Divo slip-on suede loafers,€ 635,,10% off over €500,P00726561,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46']","For a casual yet sophisticated shoe, go for the Divo loafers from Giorgio Armani. The Italian-made style is crafted from soft suede with decorative stitching and features a classic slip-on silhouette.",[]
"['Men', 'Designers', 'Birkenstock', 'Shoes', 'Slippers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/1e/P00759122.jpg,Birkenstock,Boston suede mules,€ 115,,,P00759122,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Featuring plush suede uppers, these Boston mules from Birkenstock Men have molded cork midsoles for a comfortable and lightweight step.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/1e/P00759122_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/12/P00735865.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/12/P00735865_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/91/P00735878.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/91/P00735878_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/31/P00735893.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/31/P00735893_b1.jpg']"
"['Men', 'Designers', 'Birkenstock', 'Shoes', 'Sandals & slides']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/0b/P00650214.jpg,Birkenstock,Arizona SFB sandals,€ 89,,,P00650214,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","These Birkenstock sandals arrive in a taupe colorway, featuring the label's signature double buckled straps, and molded cork midsoles for a comfortable and lightweight step.",[]
"['Men', 'Designers', 'Birkenstock', 'Shoes', 'Sandals & slides']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/0e/P00759119.jpg,Birkenstock,Arizona leather sandals,€ 155,,,P00759119,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Instantly recognizable for their dual buckled straps, the Arizona slides from Birkenstock Men have transcended generations as the ultimate off-duty essential. Made from grained calfskin, this style has tonal hardware and molded insoles.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/0e/P00759119_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/73/P00697554.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/73/P00697554_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/eb/P00734651.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/eb/P00734651_b1.jpg']"
