product_url,breadcrumb,image_url,brand,product_name,listing_price,offer_price,discount,product_id_text,sizes,description,other_images
https://www.mytheresa.com/int/en/men/manolo-blahnik-truro-suede-loafers-pink-p00831151,"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/b5/P00831151.jpg,Manolo Blahnik,Truro suede loafers,€ 669,,,P00831151,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","A favorite among modern dandies, the Truro loafers from Manolo Blahnik draw inspiration from the Regency fashion arbiter Beau Brummell. The pink-hued streamlined shape is crafted in Italy from plush suede with contrast topstitching.",[]
https://www.mytheresa.com/int/en/men/alexander-mcqueen-embellished-suede-loafers-black-p00864156,"['Men', 'Designers', 'Alexander McQueen', 'Shoes', 'Formal shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/47/P00864156.jpg,Alexander McQueen,Embellished suede loafers,"€ 1,255",,,P00864156,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']",Stand out in these striking and stylish loafers from Alexander McQueen. They're made from plush black suede and adorned with intricate red beaded embellishments in the shape of a floral motif.,[]
https://www.mytheresa.com/int/en/men/canada-goose-armstrong-hiking-boots-beige-p00846732,"['Men', 'Designers', 'Canada Goose', 'Shoes', 'Boots', 'Hiking boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/c3/P00846732.jpg,Canada Goose,Armstrong hiking boots,€ 669,,,P00846732,"['US_ 8 / EU 41', 'US_ 9 / EU 42', 'US_ 10 / EU 43', 'US_ 11 / EU 45', 'US_ 12 / EU 46']","Canada Goose presents the Armstrong boots, a stealthy pair optimized for outdoor comfort and performance. The trail-ready design is presented here in beige, featuring a waterproof construction and secure lace-up fastening.",[]
https://www.mytheresa.com/int/en/men/bottega-veneta-snap-suede-ankle-boots-brown-p00863079,"['Men', 'Designers', 'Bottega Veneta', 'Shoes', 'Boots', 'Ankle boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/e5/P00863079.jpg,Bottega Veneta,Snap suede ankle boots,€ 715,,,P00863079,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44']","Bottega Veneta's Snap ankle boots combine timeless style with modern minimalist aesthetics. Realized in suede, this slip-on shoe is finished with signature triangle logos at the heel.",[]
https://www.mytheresa.com/int/en/men/zegna-suede-loafers-brown-p00827269,"['Men', 'Designers', 'Zegna', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/a5/P00827269.jpg,Zegna,x The Elder Statesman alpaca loafers,"€ 1,005",,,P00827269,"['UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46']","Slip into the rebellious elegance of the Zegna x The Elder Statesman collection with these plush loafers. Made from alpaca wool and shaped into a classic silhouette, this luxuriously soft design comes in warm brown.",[]
https://www.mytheresa.com/int/en/men/jacquemus-les-derbies-pavane-suede-derby-shoes-beige-p00845528,"['Men', 'Designers', 'Jacquemus', 'Shoes', 'Derby Shoes']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/2e/P00845528.jpg,Jacquemus,Les Derbies Pavane suede Derby shoes,€ 549,,,P00845528,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Jacquemus brings a characterful vision of French fashion to the design of every new collection. The Les Derbies Pavane derby shoes are made from soft, beige suede with tonal stitches lining the soles.",[]
https://www.mytheresa.com/int/en/men/saint-laurent-wyatt-chelsea-boots-black-p00525826,"['Men', 'Designers', 'Saint Laurent', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/d4/P00525826.jpg,Saint Laurent,Wyatt Chelsea boots,€ 795,,,P00525826,"['EU_ 39 / EU 39', 'EU_ 39.5 / EU 39.5', 'EU_ 40 / EU 40', 'EU_ 40.5 / EU 40.5', 'EU_ 41 / EU 41', 'EU_ 41.5 / EU 41.5', 'EU_ 42 / EU 42', 'EU_ 42.5 / EU 42.5', 'EU_ 43 / EU 43', 'EU_ 43.5 / EU 43.5', 'EU_ 44 / EU 44', 'EU_ 44.5 / EU 44.5', 'EU_ 45 / EU 45', 'EU_ 45.5 / EU 45.5', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","These black leather ankle boots from Saint Laurent in offer ultimate style and comfort in a slim silhouette, and feature elastic side panels and leather soles.",[]
https://www.mytheresa.com/int/en/men/manolo-blahnik-brompton-suede-chelsea-boots-grey-p00831186,"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/60/P00831186.jpg,Manolo Blahnik,Brompton suede Chelsea boots,€ 669,,,P00831186,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 9.5 / EU 43.5', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","Creativity and craftsmanship are at the heart of every Manolo Blahnik design, including the Brompton Chelsea boots. Crafted in Italy from grey suede, this timeless style features elasticated inserts, heel pulls, and lugged rubber soles.",[]
https://www.mytheresa.com/int/en/men/balenciaga-rhino-leather-chelsea-boots-black-p00859152,"['Men', 'Designers', 'Balenciaga', 'Shoes', 'Boots', 'Ankle boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/aa/P00859152.jpg,Balenciaga,Rhino leather Chelsea boots,"€ 1,200",,,P00859152,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45']",Embrace a new take on conventional footwear with the Rhino Chelsea boots from Balenciaga. The design is crafted from brushed calf leather thatâs set atop 20mm heels and complete with pyramid-shaped toes.,[]
https://www.mytheresa.com/int/en/men/balenciaga-santiago-leather-boots-black-p00827562,"['Men', 'Designers', 'Balenciaga', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/55/P00827562.jpg,Balenciaga,Santiago leather boots,"€ 1,500",,,P00827562,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Balenciaga lives up to its well-earned reputation for experimental silhouettes with the Santiago boots. Made in Italy from smooth leather, the pair comes with square toes that cartoonishly curve up and out.","['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/55/P00827562_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/ff/P00838154.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/ff/P00838154_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/e9/P00827611.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/e9/P00827611_b1.jpg']"
https://www.mytheresa.com/int/en/men/manolo-blahnik-semanado-leather-sneakers-white-p00831213,"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/59/P00831213.jpg,Manolo Blahnik,Semanado leather sneakers,€ 505,,,P00831213,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","Creativity and craftsmanship are at the heart of every Manolo Blahnik design, including the lace-up Semanando sneakers. Crafted in Italy from supple leather, this timeless style boasts contrasting eyelets and rests atop rubber soles.",[]
https://www.mytheresa.com/int/en/men/john-lobb-leather-low-top-sneakers-white-p00865465,"['Men', 'Designers', 'John Lobb', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/2c/P00865465.jpg,John Lobb,Foundry II leather low-top sneakers,€ 955,,,P00865465,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46']","Unparalleled artisanship shines through in John Lobb's designs, which are created using high-quality materials and meticulous manufacturing processes. The Foundry II low-top sneakers are made of white leather with tonal topstitching and lugged rubber soles.",[]
https://www.mytheresa.com/int/en/men/gucci-mac80-leather-sneakers-white-p00815903,"['Men', 'Designers', 'Gucci', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/d2/P00815903.jpg,Gucci,MAC80 leather sneakers,€ 635,,,P00815903,"['UK_ 5 / EU 39', 'UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 8 / EU 42']",The MAC80 sneakers from Gucci are made from leather and discreetly showcase the brand's iconic interlocking G logo. The retro-inspired design has contrasting trims and comfortable rubber soles.,"['https://img.mytheresa.com/652/738/90/jpeg/catalog/product/d2/P00815903_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/39/P00737651.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/39/P00737651_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/ec/P00737678.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/ec/P00737678_b1.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/97/P00773751.jpg', 'https://img.mytheresa.com/652/738/90/jpeg/catalog/product/97/P00773751_b1.jpg']"
https://www.mytheresa.com/int/en/men/christian-louboutin-louis-junior-spikes-sneakers-multicoloured-p00830479,"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/d0/P00830479.jpg,Christian Louboutin,Louis Junior Spikes sneakers,€ 715,,,P00830479,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","The Louis Junior Spikes sneakers from Christian Louboutin are crafted from leather with blue suede and mesh panels. Set atop rubber soles, the lace-up style features eye-catching spike embellishements on the front.",[]
