"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/42/P00830478.jpg,Christian Louboutin,Louis Junior Spikes sneakers,€ 669,,,P00830478,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47', 'EU_ 48 / EU 48']",Christian Louboutin's Louis Junior Spikes sneakers are Italian-made with blue suede uppers and feature spiked embellishments on the rounded toe. The lace-up style has a low-top silhouette and is set atop a rubber sole.,[]
"['Men', 'Designers', 'JW Anderson', 'Shoes', 'Slippers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/67/P00838095.jpg,JW Anderson,Plaque chain suede mules,€ 505,,,P00838095,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","With a distinctive silver-tone chained plaque on the uppers, these JW Anderson mules are made from black shearling-trimmed suede with cork midsoles for a comfortable and lightweight step.",[]
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/71/P00830486.jpg,Christian Louboutin,Fun Louis Junior leather sneakers,€ 669,,,P00830486,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","Christian Louboutin's Fun Louis Junior low-top sneakers are a chic addition to your off-duty rotation. Made from white leather with red grosgrain piping, the lace-up style has logo lettering at the heel and a rubber sole.",[]
"['Men', 'Designers', 'JW Anderson', 'Shoes', 'Slippers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/3f/P00838096.jpg,JW Anderson,Plaque chain suede mules,€ 505,,,P00838096,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","With a distinctive silver-tone chained plaque on the uppers, these JW Anderson mules are made from beige shearling-trimmed suede with cork midsoles for a comfortable and lightweight step.",[]
"['Men', 'Designers', 'Acne Studios', 'Shoes', 'Formal shoes', 'Derby']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/1c/P00831086.jpg,Acne Studios,Leather Derby shoes,€ 525,,,P00831086,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']",Acne Studios brings an unexpected touch to these Derby shoes with a subtle bump finish detailing at the rounded toe. The lace-up style is crafted from glossy black leather and pairs easily with any outfit.,[]
"['Men', 'Designers', ""Tod's"", 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/1e/P00642292.jpg,Tod's,Gommino suede driving shoes,€ 415,,,P00642292,"['UK_ 6 / EU 39.5', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43-43.5', 'UK_ 9.5 / EU 44', 'UK_ 10 / EU 44.5', 'UK_ 10.5 / EU 45', 'UK_ 11 / EU 45.5', 'UK_ 11.5 / EU 46.5', 'UK_ 12 / EU 47', 'UK_ 13 / EU 48']","Made in Italy with hand-stitched details, these driving shoes from Tod's are made from suede with a leather lining, and feature signature rubber pebbles at the sole and heel.",[]
"['Men', 'Designers', 'Balenciaga', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/65/P00636514.jpg,Balenciaga,Runner sneakers,€ 925,€ 375,50% off,P00636514,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","Balenciaga's Runner sneakers are made from panels of mesh and technical nylon. Featuring squared toes, they have logo embroidery on the tongues.","['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/65/P00636514_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/92/P00513613.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/fb/P00569569.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/29/P00569656.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/1e/P00631755.jpg']"
"['Men', 'Designers', 'Gucci', 'Shoes', 'Sneakers', 'Designer sneakers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/39/P00815833.jpg,Gucci,GG Supreme canvas and leather sneakers,€ 609,,,P00815833,"['UK_ 5 / EU 39', 'UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","A historic interpretation of founder Guccio Gucci's initials, GG Supreme canvas is a key fabric at the house of Gucci. Made in Italy from the iconic material, these sneakers come with logo lettering on the backs of the rubber soles.","['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/39/P00815833_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/37/P00773782.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/13/P00815914.jpg']"
"['Men', 'Designers', 'Loro Piana', 'Shoes', 'Espadrilles']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/53/P00738152.jpg,Loro Piana,Seaside Walk espadrilles,€ 415,,,P00738152,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Every Loro Piana design combines the best of Italian craftsmanship with the finest raw materials. The beige Seaside Walk espadrilles have apron toes, topstitched panel seaming, and rest on jute-wrapped soles.",[]
"['Men', 'Designers', 'Amiri', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/38/P00836774.jpg,Amiri,MA-1 leather sneakers,€ 635,,,P00836774,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47', 'EU_ 48 / EU 48']","Calling to mind the chunky styles of an earlier era, Amiri's MA-1 sneakers have wide laces and oversized tongues. Made from panels of leather, they feature mesh inserts and perforated toe boxes for optimal airflow.",[]
